shape,n_points,eig_index,eigenvalue,uncanon_score,is_uncanonicalizable,spectral_gap
symmetria/human/inst00_noise0.000,896,0,-0.00000000,2.000000,False,0.06781592
symmetria/human/inst00_noise0.000,896,1,0.06781592,0.148882,True,0.06781592
symmetria/human/inst00_noise0.000,896,2,0.22244629,0.268301,False,0.06781592
symmetria/human/inst00_noise0.000,896,3,0.36087527,0.231595,False,0.06781592
symmetria/human/inst00_noise0.000,896,4,0.48188396,0.251460,False,0.06781592
symmetria/human/inst00_noise0.000,896,5,0.64528501,0.138055,True,0.06781592
symmetria/human/inst00_noise0.000,896,6,0.77543287,0.322231,False,0.06781592
symmetria/human/inst00_noise0.000,896,7,0.96640944,0.127227,True,0.06781592
symmetria/human/inst00_noise0.000,896,8,1.14273106,0.260037,False,0.06781592
symmetria/human/inst00_noise0.000,896,9,1.31673712,0.375934,False,0.06781592
symmetria/human/inst00_noise0.000,896,10,1.39844354,0.190084,False,0.06781592
symmetria/human/inst00_noise0.000,896,11,1.50167821,0.355380,False,0.06781592
symmetria/human/inst00_noise0.000,896,12,1.75069413,0.128941,True,0.06781592
symmetria/human/inst00_noise0.000,896,13,1.78156541,0.183934,False,0.06781592
symmetria/human/inst00_noise0.000,896,14,2.10073224,0.177908,False,0.06781592
symmetria/human/inst00_noise0.000,896,15,2.19513083,0.146003,True,0.06781592
symmetria/human/inst00_noise0.000,896,16,2.26332153,0.107956,True,0.06781592
symmetria/human/inst00_noise0.000,896,17,2.41201274,0.075216,True,0.06781592
symmetria/human/inst00_noise0.000,896,18,2.61797285,0.386661,False,0.06781592
symmetria/human/inst00_noise0.000,896,19,2.79495372,0.059035,True,0.06781592
symmetria/human/inst00_noise0.010,896,0,0.00000000,2.000000,False,0.06812789
symmetria/human/inst00_noise0.010,896,1,0.06812789,0.153123,True,0.06812789
symmetria/human/inst00_noise0.010,896,2,0.21827746,0.238095,False,0.06812789
symmetria/human/inst00_noise0.010,896,3,0.36113891,0.188736,False,0.06812789
symmetria/human/inst00_noise0.010,896,4,0.48831333,0.233238,False,0.06812789
symmetria/human/inst00_noise0.010,896,5,0.65187588,0.067143,True,0.06812789
symmetria/human/inst00_noise0.010,896,6,0.77492024,0.326464,False,0.06812789
symmetria/human/inst00_noise0.010,896,7,0.96406552,0.163805,True,0.06812789
symmetria/human/inst00_noise0.010,896,8,1.14263896,0.287697,False,0.06812789
symmetria/human/inst00_noise0.010,896,9,1.30981493,0.337860,False,0.06812789
symmetria/human/inst00_noise0.010,896,10,1.38110173,0.067589,True,0.06812789
symmetria/human/inst00_noise0.010,896,11,1.52342589,0.179198,False,0.06812789
symmetria/human/inst00_noise0.010,896,12,1.67174747,0.253949,False,0.06812789
symmetria/human/inst00_noise0.010,896,13,1.81222073,0.197770,False,0.06812789
symmetria/human/inst00_noise0.010,896,14,2.03228585,0.222826,False,0.06812789
symmetria/human/inst00_noise0.010,896,15,2.15274479,0.110678,True,0.06812789
symmetria/human/inst00_noise0.010,896,16,2.26256665,0.072796,True,0.06812789
symmetria/human/inst00_noise0.010,896,17,2.38438151,0.130963,True,0.06812789
symmetria/human/inst00_noise0.010,896,18,2.48866472,0.430666,False,0.06812789
symmetria/human/inst00_noise0.010,896,19,2.76580351,0.124021,True,0.06812789
symmetria/human/inst00_noise0.050,896,0,0.00000000,2.000000,False,0.07012604
symmetria/human/inst00_noise0.050,896,1,0.07012604,0.196962,False,0.07012604
symmetria/human/inst00_noise0.050,896,2,0.22528121,0.301051,False,0.07012604
symmetria/human/inst00_noise0.050,896,3,0.37335167,0.112521,True,0.07012604
symmetria/human/inst00_noise0.050,896,4,0.49996093,0.178790,False,0.07012604
symmetria/human/inst00_noise0.050,896,5,0.69864817,0.121570,True,0.07012604
symmetria/human/inst00_noise0.050,896,6,0.83490938,0.262719,False,0.07012604
symmetria/human/inst00_noise0.050,896,7,0.99941998,0.090007,True,0.07012604
symmetria/human/inst00_noise0.050,896,8,1.21349353,0.089587,True,0.07012604
symmetria/human/inst00_noise0.050,896,9,1.29719644,0.176859,False,0.07012604
symmetria/human/inst00_noise0.050,896,10,1.43640025,0.126767,True,0.07012604
symmetria/human/inst00_noise0.050,896,11,1.67414742,0.360999,False,0.07012604
symmetria/human/inst00_noise0.050,896,12,1.75064126,0.288571,False,0.07012604
symmetria/human/inst00_noise0.050,896,13,1.90379363,0.305599,False,0.07012604
symmetria/human/inst00_noise0.050,896,14,2.01005347,0.323538,False,0.07012604
